year,month,day,hour,temp,windchill,humidity, precipitation, wind_speed
2015,12,1,0,43,38.2,93,0.01,8.1
2015,12,1,1,44.1,38.6,93,0.01,10.4
2015,12,1,2,44.1,40.1,93,0,6.9
2015,12,1,3,44.1,40.1,93,0.05,6.9
2015,12,1,4,45,39.3,93,0.01,11.5
2015,12,1,5,45,39.3,90,0,11.5
2015,12,1,6,44.1,37.7,89,0,12.7
2015,12,1,7,43,36.8,86,0,11.5
2015,12,1,8,42.1,33.1,76,0,20.7
